"symbol,date,price"
"Home Care,April 2013,15"
"Staples,April 2013,16"
"Ready to Cook,April 2013,210"
"Staples,April 2013,115"
"Staples,April 2013,16"
"Fabric Wash,April 2013,164.69"
"Staples,April 2013,23"
"Tea,April 2013,90.48"
"Tea,April 2013,76.9"
"Dish Wash,April 2013,25.33"
"Chocolates,April 2013,17.78"
"Chocolates,April 2013,8.89"
"Fabric Wash,April 2013,38.22"
"Staples,April 2013,100"
"Ready to Cook,April 2013,74.67"
"Ready to Cook,April 2013,8.89"
"Ready to Cook,April 2013,12.89"
"Ready to Cook,April 2013,12.44"
"Ready to Cook,April 2013,50.67"
"Staples,April 2013,55"
"Staples,April 2013,55"
"Spices,April 2013,20.95"
"Spices,April 2013,20.95"
"Dryfruits,April 2013,85.71"
"Dryfruits,April 2013,85.71"
"Dryfruits,April 2013,214.29"
"Home Care,April 2013,93.33"
"Home Care,April 2013,93.33"
"Home Care,April 2013,64"
"Home Care,April 2013,128"
"Home Care,April 2013,60.44"
"Home Care,April 2013,48"
"Home Care,April 2013,48"
"Home Care,April 2013,83.6"
"Home Care,April 2013,101.33"
"Home Care,April 2013,50.67"
"Snacks,April 2013,33.78"
"Snacks,April 2013,33.78"
"Home Care,April 2013,186.67"
